advertise,B_size,Profit
1105.30,55,646.26
1105.30,55,646.26
1105.30,55,642.72
1105.30,55,642.72
1105.30,55,642.72
1105.30,47,642.52
1105.30,47,642.38
828.98,71,637.86
1105.30,47,636.48
1105.30,47,636.48
1105.30,47,636.48
1105.30,47,636.48
1105.30,47,636.48
1105.30,47,636.48
1105.30,47,636.48
1105.30,47,636.48
1105.30,47,635.52
1105.30,47,635.52
828.98,63,634.91
828.98,63,634.91
828.98,63,634.91
828.98,63,634.91
828.98,63,634.91
828.98,63,634.91
828.98,63,634.91
828.98,63,634.90
828.98,63,634.68
828.98,63,634.68
828.98,63,634.68
828.98,63,634.68
828.98,63,634.66
1105.30,55,634.34
828.98,63,632.86
828.98,63,632.86
828.98,63,632.86
828.98,63,632.86
828.98,63,632.86
828.98,63,632.86
828.98,63,632.85
828.98,63,632.79
828.98,63,632.65
828.98,63,632.06
1144.78,55,631.81
1065.83,47,630.66
828.98,63,630.49
828.98,63,630.49
986.88,55,629.74
1026.35,47,629.27
1184.25,47,627.53
1105.30,63,627.41
1065.83,55,627.20
828.98,63,626.97
1144.78,47,626.84
828.98,63,626.79
828.98,63,626.79
828.98,63,626.61
828.98,63,626.61
828.98,63,626.54
828.98,63,626.47
828.98,63,626.40
828.98,63,626.33
828.98,63,626.27
828.98,63,626.19
1105.30,55,626.17
1105.30,55,626.17
828.98,63,626.16
828.98,63,626.12
828.98,63,626.12
1105.30,47,623.59
1105.30,47,623.59
986.88,47,621.29
1105.30,39,619.57
1105.30,47,614.93
868.45,63,612.67
789.50,63,611.35
789.50,63,610.96
789.50,63,610.96
789.50,63,608.58
868.45,63,608.41
868.45,63,608.36
868.45,63,608.36
1105.30,31,608.00
1105.30,31,608.00
1105.30,31,608.00
868.45,63,605.73
868.45,63,605.23
868.45,63,605.23
789.50,63,603.17
1105.30,63,601.79
789.50,63,600.90
631.60,79,599.25
828.98,63,598.24
1065.83,31,597.51
868.45,63,597.16
1144.78,31,596.57
1026.35,31,593.90
1105.30,23,591.64
828.98,79,591.10
828.98,79,591.10
828.98,63,590.71
986.88,31,588.13
986.88,31,588.06
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,588.01
986.88,31,585.69
986.88,31,585.30
986.88,31,585.29
986.88,31,585.19
986.88,31,585.12
986.88,31,585.12
986.88,31,585.12
986.88,31,584.29
986.88,31,584.29
986.88,31,584.28
986.88,31,584.28
986.88,31,584.28
986.88,31,584.28
986.88,31,584.27
986.88,31,584.27
868.45,79,582.89
828.98,63,581.49
986.88,31,580.97
828.98,31,579.83
828.98,31,579.83
828.98,31,579.83
828.98,31,579.83
828.98,31,579.83
828.98,31,579.83
828.98,31,579.83
828.98,31,579.83
828.98,31,579.83
828.98,31,579.83
828.98,31,579.05
828.98,31,579.04
828.98,31,578.98
828.98,31,578.98
828.98,31,578.94
828.98,31,578.94
828.98,31,578.90
828.98,31,578.90
828.98,31,578.90
828.98,31,578.90
828.98,31,578.90
828.98,31,578.43
828.98,31,578.26
868.45,63,577.84
789.50,79,575.04
986.88,31,573.47
986.88,31,573.38
986.88,31,571.50
986.88,31,571.43
1105.30,47,571.04
986.88,31,569.00
828.98,31,565.58
868.45,31,565.13
828.98,31,562.55
828.98,31,562.15
986.88,79,561.44
1105.30,47,556.43
789.50,31,550.30
828.98,31,549.39
789.50,79,547.64
44.70,87,547.14
44.70,87,547.14
44.70,87,547.14
44.70,87,547.14
44.70,87,547.14
44.70,87,547.14
44.70,87,547.14
1105.30,15,545.88
44.70,87,543.29
1500.05,47,542.58
44.70,87,538.39
828.98,63,537.97
44.70,87,537.36
44.70,87,537.36
828.98,63,537.29
1105.30,71,536.13
986.88,31,531.70
1539.53,47,531.16
44.70,87,531.12
1105.30,79,525.75
44.70,87,523.63
1579.00,47,523.32
1579.00,47,523.32
1579.00,47,523.30
1579.00,47,523.23
44.70,87,523.23
1579.00,47,523.06
1579.00,47,522.98
1579.00,47,522.98
44.70,87,522.60
44.70,87,522.60
44.70,87,522.60
44.70,87,520.66
44.70,87,520.66
44.70,87,520.66
44.70,87,520.66
44.70,87,520.66
44.70,87,520.66
44.70,87,520.11
44.70,87,519.98
1579.00,39,519.74
44.70,87,517.11
44.70,87,516.67
44.70,87,515.99
44.70,87,515.99
44.70,87,514.95
44.70,87,514.95
44.70,87,514.95
1579.00,31,513.27
44.70,87,512.56
1105.30,39,511.01
1105.30,39,511.01
828.98,31,508.93
44.70,87,508.39
828.98,63,508.33
44.70,87,508.31
44.70,87,507.46
44.70,87,506.05
44.70,87,505.66
44.70,87,505.66
44.70,87,505.66
44.70,87,505.66
44.70,87,505.66
44.70,87,505.66
789.50,79,503.75
44.70,87,502.54
1105.30,47,501.87
44.70,87,501.57
44.70,87,501.25
44.70,87,501.25
44.70,87,500.82
1579.00,23,496.97
44.70,87,496.23
44.70,87,495.85
44.70,87,495.66
1579.00,55,495.54
44.70,87,495.16
44.70,87,491.71
828.98,31,488.41
828.98,63,486.50
44.70,87,485.29
0.00,87,483.99
89.40,87,479.27
44.70,87,478.96
44.70,87,477.96
44.70,79,477.30
44.70,87,476.87
44.70,87,474.51
44.70,87,473.52
44.70,87,473.52
44.70,87,473.39
44.70,87,473.02
44.70,87,472.98
44.70,87,472.98
44.70,87,472.85
44.70,87,472.69
1105.30,47,471.07
44.70,87,470.75
44.70,87,469.39
44.70,87,469.17
44.70,87,469.16
44.70,87,468.22
44.70,79,468.22
44.70,79,467.46
44.70,87,464.76
986.88,31,464.05
986.88,31,464.00
986.88,31,464.00
44.70,79,460.64
44.70,87,460.12
394.75,63,459.16
947.40,31,458.21
89.40,87,457.87
789.50,31,455.86
0.00,87,453.76
592.13,31,453.66
1105.30,63,453.34
1026.35,31,450.89
44.70,79,447.52
89.40,87,443.18
986.88,31,439.69
1105.30,31,439.52
1105.30,31,439.52
1105.30,31,439.52
1105.30,31,439.52
1105.30,23,438.59
39.48,87,437.97
1065.83,31,436.30
39.48,87,433.85
1105.30,39,431.40
1105.30,39,431.40
1105.30,39,429.04
44.70,87,427.04
178.80,87,426.00
868.45,63,425.10
1105.30,79,421.37
828.98,63,420.77
828.98,31,419.71
1105.30,15,413.32
1105.30,15,413.32
1105.30,15,413.32
1105.30,15,413.32
1144.78,31,412.54
1105.30,15,407.81
355.28,39,404.54
1105.30,15,403.15
1105.30,15,403.15
789.50,79,402.01
1184.25,31,401.71
44.70,71,401.20
447.00,87,399.91
986.88,31,395.71
1251.60,47,392.62
0.00,31,392.27
44.70,87,391.64
907.93,55,390.52
491.70,87,388.76
44.70,87,387.39
197.38,31,380.43
828.98,63,374.64
1105.30,55,371.46
1105.30,55,371.11
1105.30,55,370.78
828.98,63,365.32
355.28,15,362.48
355.28,15,362.48
355.28,15,361.99
355.28,15,361.99
394.75,31,360.34
355.28,15,358.98
394.75,87,351.84
355.28,15,343.83
44.70,55,338.35
1105.30,47,323.62
355.28,15,321.58
434.23,87,286.11
1105.30,15,285.67
1117.50,31,273.10
1105.30,47,254.96
1105.30,87,253.94
894.00,87,216.39
44.70,15,208.34
44.70,15,205.15
44.70,15,198.45
1105.30,15,194.13
39.48,15,177.52
1788.00,55,167.12
1105.30,15,151.95
894.00,87,144.74
355.28,15,123.98
355.28,15,123.98
315.80,15,113.60
394.75,15,107.36
1105.30,15,93.31
907.93,15,51.90
1251.60,47,44.59
789.50,79,36.58
44.70,15,18.05
1251.60,31,16.62
1251.60,31,16.62
789.50,87,-21.32
1105.30,15,-29.36
1105.30,15,-47.31
1105.30,15,-55.40
44.70,15,-77.97
1105.30,87,-87.41
1105.30,87,-152.14
947.40,87,-157.85
1251.60,31,-293.65
1251.60,15,-388.54
1579.00,15,-452.20
1788.00,87,-468.07
1105.30,15,-507.95
1788.00,87,-540.36
1788.00,87,-540.36
1105.30,47,-613.17
1579.00,55,-613.66
1788.00,87,-616.72
1105.30,15,-683.55
1788.00,87,-690.44
1579.00,87,-743.22
1788.00,87,-773.25
1788.00,87,-773.25
1579.00,55,-802.21
1251.60,31,-835.97
1788.00,87,-908.01
1579.00,15,-1244.42
1579.00,55,-1259.26
1579.00,55,-1259.26
1579.00,87,-1510.58
